FCEUX 2.5.0 - Trace Log File
A:14 X:05 Y:BD S:F5           $D558: C8        INY
A:14 X:05 Y:BE S:F5           $D559: C8        INY
A:14 X:05 Y:BF S:F5           $D55A: B1 05     LDA ($05),Y @ $8AF3 = #$24
A:24 X:05 Y:BF S:F2              $D0FF: 48        PHA
A:24 X:05 Y:BF S:F1               $D100: 8A        TXA
A:05 X:05 Y:BF S:F1               $D101: 48        PHA
A:05 X:05 Y:BF S:F0                $D102: 98        TYA
A:BF X:05 Y:BF S:F0                $D103: 48        PHA
A:BF X:05 Y:BF S:EF                 $D104: AD 02 20  LDA $2002 = #$C0
A:C0 X:05 Y:BF S:EF                 $D107: A9 00     LDA #$00
A:00 X:05 Y:BF S:EF                 $D109: 8D 03 20  STA $2003 = #$00
A:00 X:05 Y:BF S:EF                 $D10C: A9 07     LDA #$07
A:07 X:05 Y:BF S:EF                 $D10E: 8D 14 40  STA $4014 = #$07
A:07 X:05 Y:BF S:EF                 $D111: A5 16     LDA $16 = #$FF
A:FF X:05 Y:BF S:EF                 $D113: F0 08     BEQ $D11D
A:FF X:05 Y:BF S:EF                 $D115: A5 17     LDA $17 = #$00
A:00 X:05 Y:BF S:EF                 $D117: D0 04     BNE $D11D
A:00 X:05 Y:BF S:EF                 $D119: A5 18     LDA $18 = #$00
A:00 X:05 Y:BF S:EF                 $D11B: F0 03     BEQ $D120
A:00 X:05 Y:BF S:EF                 $D120: A9 FF     LDA #$FF
A:FF X:05 Y:BF S:EF                 $D122: 85 18     STA $18 = #$00
A:FF X:05 Y:BF S:EF                 $D124: 20 6F C3  JSR $C36F
A:FF X:05 Y:BF S:ED                   $C36F: A2 00     LDX #$00
A:FF X:00 Y:BF S:ED                   $C371: B5 00     LDA $00,X @ $0000 = #$01
A:01 X:00 Y:BF S:ED                   $C373: 95 0D     STA $0D,X @ $000D = #$01
A:01 X:00 Y:BF S:ED                   $C375: E8        INX
A:01 X:01 Y:BF S:ED                   $C376: E0 08     CPX #$08
A:01 X:01 Y:BF S:ED                   $C378: D0 F7     BNE $C371
A:01 X:01 Y:BF S:ED                   $C371: B5 00     LDA $00,X @ $0001 = #$0D
A:0D X:01 Y:BF S:ED                   $C373: 95 0D     STA $0D,X @ $000E = #$33
A:0D X:01 Y:BF S:ED                   $C375: E8        INX
A:0D X:02 Y:BF S:ED                   $C376: E0 08     CPX #$08
A:0D X:02 Y:BF S:ED                   $C378: D0 F7     BNE $C371
A:0D X:02 Y:BF S:ED                   $C371: B5 00     LDA $00,X @ $0002 = #$01
A:01 X:02 Y:BF S:ED                   $C373: 95 0D     STA $0D,X @ $000F = #$E6
A:01 X:02 Y:BF S:ED                   $C375: E8        INX
A:01 X:03 Y:BF S:ED                   $C376: E0 08     CPX #$08
A:01 X:03 Y:BF S:ED                   $C378: D0 F7     BNE $C371
A:01 X:03 Y:BF S:ED                   $C371: B5 00     LDA $00,X @ $0003 = #$96
A:96 X:03 Y:BF S:ED                   $C373: 95 0D     STA $0D,X @ $0010 = #$02
A:96 X:03 Y:BF S:ED                   $C375: E8        INX
A:96 X:04 Y:BF S:ED                   $C376: E0 08     CPX #$08
A:96 X:04 Y:BF S:ED                   $C378: D0 F7     BNE $C371
A:96 X:04 Y:BF S:ED                   $C371: B5 00     LDA $00,X @ $0004 = #$B8
A:B8 X:04 Y:BF S:ED                   $C373: 95 0D     STA $0D,X @ $0011 = #$00
A:B8 X:04 Y:BF S:ED                   $C375: E8        INX
A:B8 X:05 Y:BF S:ED                   $C376: E0 08     CPX #$08
A:B8 X:05 Y:BF S:ED                   $C378: D0 F7     BNE $C371
A:B8 X:05 Y:BF S:ED                   $C371: B5 00     LDA $00,X @ $0005 = #$34
A:34 X:05 Y:BF S:ED                   $C373: 95 0D     STA $0D,X @ $0012 = #$34
A:34 X:05 Y:BF S:ED                   $C375: E8        INX
A:34 X:06 Y:BF S:ED                   $C376: E0 08     CPX #$08
A:34 X:06 Y:BF S:ED                   $C378: D0 F7     BNE $C371
A:34 X:06 Y:BF S:ED                   $C371: B5 00     LDA $00,X @ $0006 = #$8A
A:8A X:06 Y:BF S:ED                   $C373: 95 0D     STA $0D,X @ $0013 = #$8A
A:8A X:06 Y:BF S:ED                   $C375: E8        INX
A:8A X:07 Y:BF S:ED                   $C376: E0 08     CPX #$08
A:8A X:07 Y:BF S:ED                   $C378: D0 F7     BNE $C371
A:8A X:07 Y:BF S:ED                   $C371: B5 00     LDA $00,X @ $0007 = #$80
A:80 X:07 Y:BF S:ED                   $C373: 95 0D     STA $0D,X @ $0014 = #$1C
A:80 X:07 Y:BF S:ED                   $C375: E8        INX
A:80 X:08 Y:BF S:ED                   $C376: E0 08     CPX #$08
A:80 X:08 Y:BF S:ED                   $C378: D0 F7     BNE $C371
