============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v3
FCEUX Lua 5.1 compatible
============================================================
Started frame: 9969

DF/E0/E1 writes are logged directly.
E0 selector is NOT treated as sticky.
C726 caller is reconstructed from the 6502 stack.
C2DA indirect target is captured at C300.
AEEA construction events receive spawn serial numbers.
Spawn delta means frames between AEEA events.
============================================================
EV=000001 F=9970 I=247628852 C=296890174 PC=C535 A=00 X=80 Y=00 DF=F1 E0=9B E1=CE | C535 RNG UPDATE BEFORE | DF=F1 E0=9B E1=CE
EV=000002 F=9970 I=247628856 C=296890187 PC=C53F A=EF X=CE Y=00 DF=EF E0=9B E1=CE | WRITE DF | F1 -> EF DF&1=1 DF&3=3 DF&7=7
EV=000003 F=9970 I=247628860 C=296890200 PC=C547 A=28 X=CE Y=00 DF=EF E0=28 E1=CE | WRITE E0 | 9B -> 28 E0SEL=2
EV=000004 F=9970 I=247628861 C=296890205 PC=C549 A=28 X=CE Y=00 DF=EF E0=28 E1=CF | WRITE E1 | CE -> CF
EV=000005 F=9970 I=247629527 C=296892457 PC=C726 A=5E X=BD Y=AC DF=EF E0=28 E1=CF | C726 QUEUE | ID=5E X=BD Y=AC caller=56AB return=56AD DF=EF E0=28
EV=000006 F=9970 I=247629629 C=296892809 PC=C726 A=01 X=03 Y=AC DF=EF E0=28 E1=CF | C726 QUEUE | ID=01 X=03 Y=AC caller=3FAB return=3FAD DF=EF E0=28
EV=000007 F=9970 I=247629684 C=296892991 PC=C2DA A=04 X=0A Y=AC DF=EF E0=28 E1=CF | C2DA ENTER | A=04 selector=4 S=F9 dispatch=?
EV=000008 F=9970 I=247629720 C=296893107 PC=C300 A=44 X=FF Y=00 DF=EF E0=28 E1=CF | C300 INDIRECT DISPATCH | selector=4 tableptr=C944 target=CB0A dispatch=?
EV=000009 F=9970 I=247629741 C=296893175 PC=C317 A=09 X=00 Y=01 DF=EF E0=28 E1=CF | C317 DISPATCH RETURN | last_target=CB0A dispatch=?
EV=000010 F=9970 I=247630076 C=296894293 PC=C2DA A=01 X=00 Y=06 DF=EF E0=28 E1=CF | C2DA ENTER | A=01 selector=1 S=F7 dispatch=?
EV=000011 F=9970 I=247630112 C=296894409 PC=C300 A=39 X=FF Y=00 DF=EF E0=28 E1=CF | C300 INDIRECT DISPATCH | selector=1 tableptr=CC39 target=CC59 dispatch=?
EV=000012 F=9970 I=247630133 C=296894477 PC=C317 A=58 X=00 Y=01 DF=EF E0=28 E1=CF | C317 DISPATCH RETURN | last_target=CC59 dispatch=?
EV=000013 F=9970 I=247630520 C=296895700 PC=C2DA A=01 X=04 Y=06 DF=EF E0=28 E1=CF | C2DA ENTER | A=01 selector=1 S=F7 dispatch=?
EV=000014 F=9970 I=247630556 C=296895816 PC=C300 A=4A X=FF Y=00 DF=EF E0=28 E1=CF | C300 INDIRECT DISPATCH | selector=1 tableptr=D34A target=D35A dispatch=?
EV=000015 F=9970 I=247630577 C=296895884 PC=C317 A=59 X=00 Y=01 DF=EF E0=28 E1=CF | C317 DISPATCH RETURN | last_target=D35A dispatch=?
EV=000016 F=9970 I=247630669 C=296896195 PC=C2DA A=00 X=20 Y=01 DF=EF E0=28 E1=CF | C2DA ENTER | A=00 selector=0 S=FB dispatch=?
EV=000017 F=9970 I=247630705 C=296896311 PC=C300 A=C9 X=FF Y=00 DF=EF E0=28 E1=CF | C300 INDIRECT DISPATCH | selector=0 tableptr=CCC9 target=CCD4 dispatch=?
EV=000018 F=9970 I=247630726 C=296896379 PC=C317 A=D3 X=00 Y=01 DF=EF E0=28 E1=CF | C317 DISPATCH RETURN | last_target=CCD4 dispatch=?
EV=000019 F=9970 I=247630806 C=296896656 PC=C726 A=4B X=97 Y=01 DF=EF E0=28 E1=CF | C726 QUEUE | ID=4B X=97 Y=01 caller=2B00 return=2B02 DF=EF E0=28
EV=000020 F=9970 I=247630820 C=296896707 PC=C2DA A=01 X=0B Y=01 DF=EF E0=28 E1=CF | C2DA ENTER | A=01 selector=1 S=FB dispatch=?
EV=000021 F=9970 I=247630856 C=296896823 PC=C300 A=33 X=FF Y=00 DF=EF E0=28 E1=CF | C300 INDIRECT DISPATCH | selector=1 tableptr=E633 target=E71D dispatch=?
EV=000022 F=9970 I=247630877 C=296896891 PC=C317 A=1C X=00 Y=01 DF=EF E0=28 E1=CF | C317 DISPATCH RETURN | last_target=E71D dispatch=?
EV=000023 F=9970 I=247630878 C=296896894 PC=E71D A=1C X=00 Y=01 DF=EF E0=28 E1=CF | E71D DF GATE | DF=EF DF&1=1
EV=000024 F=9970 I=247630960 C=296897176 PC=C726 A=09 X=13 Y=01 DF=EF E0=28 E1=CF | C726 QUEUE | ID=09 X=13 Y=01 caller=4300 return=4302 DF=EF E0=28
EV=000025 F=9971 I=247637062 C=296919951 PC=C535 A=00 X=80 Y=00 DF=EF E0=28 E1=CF | C535 RNG UPDATE BEFORE | DF=EF E0=28 E1=CF
EV=000026 F=9971 I=247637066 C=296919964 PC=C53F A=D3 X=CF Y=00 DF=D3 E0=28 E1=CF | WRITE DF | EF -> D3 DF&1=1 DF&3=3 DF&7=3
EV=000027 F=9971 I=247637070 C=296919977 PC=C547 A=1B X=CF Y=00 DF=D3 E0=1B E1=CF | WRITE E0 | 28 -> 1B E0SEL=1
EV=000028 F=9971 I=247637071 C=296919982 PC=C549 A=1B X=CF Y=00 DF=D3 E0=1B E1=D0 | WRITE E1 | CF -> D0
EV=000029 F=9972 I=247645129 C=296949731 PC=C535 A=00 X=80 Y=00 DF=D3 E0=1B E1=D0 | C535 RNG UPDATE BEFORE | DF=D3 E0=1B E1=D0
EV=000030 F=9972 I=247645133 C=296949744 PC=C53F A=D1 X=D0 Y=00 DF=D1 E0=1B E1=D0 | WRITE DF | D3 -> D1 DF&1=1 DF&3=1 DF&7=1
EV=000031 F=9972 I=247645137 C=296949757 PC=C547 A=1E X=D0 Y=00 DF=D1 E0=1E E1=D0 | WRITE E0 | 1B -> 1E E0SEL=1
EV=000032 F=9972 I=247645138 C=296949762 PC=C549 A=1E X=D0 Y=00 DF=D1 E0=1E E1=D1 | WRITE E1 | D0 -> D1
EV=000033 F=9973 I=247653197 C=296979511 PC=C535 A=00 X=80 Y=00 DF=D1 E0=1E E1=D1 | C535 RNG UPDATE BEFORE | DF=D1 E0=1E E1=D1
EV=000034 F=9973 I=247653201 C=296979524 PC=C53F A=C5 X=D1 Y=00 DF=C5 E0=1E E1=D1 | WRITE DF | D1 -> C5 DF&1=1 DF&3=1 DF&7=5
EV=000035 F=9973 I=247653205 C=296979537 PC=C547 A=6A X=D1 Y=00 DF=C5 E0=6A E1=D1 | WRITE E0 | 1E -> 6A E0SEL=6
EV=000036 F=9973 I=247653206 C=296979542 PC=C549 A=6A X=D1 Y=00 DF=C5 E0=6A E1=D2 | WRITE E1 | D1 -> D2
EV=000037 F=9973 I=247658646 C=296999258 PC=C726 A=26 X=4D Y=01 DF=C5 E0=6A E1=D2 | C726 QUEUE | ID=26 X=4D Y=01 caller=BF00 return=BF02 DF=C5 E0=6A
EV=000038 F=9973 I=247658675 C=296999353 PC=E01F A=00 X=04 Y=00 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=00 0720=B0 0723=12
EV=000039 F=9973 I=247658685 C=296999380 PC=E01F A=F0 X=04 Y=04 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=04 0720=B0 0723=12
EV=000040 F=9973 I=247658695 C=296999407 PC=E01F A=F0 X=04 Y=08 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=08 0720=B0 0723=12
EV=000041 F=9973 I=247658705 C=296999434 PC=E01F A=F0 X=04 Y=0C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=0C 0720=B0 0723=12
EV=000042 F=9973 I=247658715 C=296999461 PC=E01F A=F0 X=04 Y=10 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=10 0720=B0 0723=12
EV=000043 F=9973 I=247658725 C=296999488 PC=E01F A=F0 X=04 Y=14 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=14 0720=B0 0723=12
EV=000044 F=9973 I=247658735 C=296999515 PC=E01F A=F0 X=04 Y=18 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=18 0720=B0 0723=12
EV=000045 F=9973 I=247658745 C=296999542 PC=E01F A=F0 X=04 Y=1C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=1C 0720=B0 0723=12
EV=000046 F=9973 I=247658755 C=296999569 PC=E01F A=F0 X=04 Y=20 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=20 0720=B0 0723=12
EV=000047 F=9973 I=247658765 C=296999596 PC=E01F A=F0 X=04 Y=24 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=24 0720=B0 0723=12
