EV=021133 F=10284 I=250231360 C=306255994 PC=E01F A=F0 X=18 Y=10 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=10 0720=B0 0723=6E
EV=021134 F=10284 I=250231370 C=306256021 PC=E01F A=F0 X=18 Y=14 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=14 0720=B0 0723=6E
EV=021135 F=10284 I=250231380 C=306256048 PC=E01F A=F0 X=18 Y=18 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=18 0720=B0 0723=6E
EV=021136 F=10284 I=250231390 C=306256075 PC=E01F A=F0 X=18 Y=1C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=1C 0720=B0 0723=6E
EV=021137 F=10284 I=250231400 C=306256102 PC=E01F A=F0 X=18 Y=20 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=20 0720=B0 0723=6E
EV=021138 F=10284 I=250231410 C=306256129 PC=E01F A=F0 X=18 Y=24 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=24 0720=B0 0723=6E
EV=021139 F=10284 I=250231420 C=306256156 PC=E01F A=F0 X=18 Y=28 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=28 0720=B0 0723=6E
EV=021140 F=10284 I=250231430 C=306256183 PC=E01F A=F0 X=18 Y=2C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=2C 0720=B0 0723=6E
EV=021141 F=10284 I=250231440 C=306256210 PC=E01F A=F0 X=18 Y=30 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=30 0720=B0 0723=6E
EV=021142 F=10284 I=250231450 C=306256237 PC=E01F A=F0 X=18 Y=34 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=34 0720=B0 0723=6E
EV=021143 F=10284 I=250231460 C=306256264 PC=E01F A=F0 X=18 Y=38 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=38 0720=B0 0723=6E
EV=021144 F=10284 I=250231470 C=306256291 PC=E01F A=F0 X=18 Y=3C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=3C 0720=B0 0723=6E
EV=021145 F=10284 I=250231480 C=306256318 PC=E01F A=F0 X=18 Y=40 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=40 0720=B0 0723=6E
EV=021146 F=10284 I=250231490 C=306256345 PC=E01F A=F0 X=18 Y=44 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=44 0720=B0 0723=6E
EV=021147 F=10284 I=250231500 C=306256372 PC=E01F A=F0 X=18 Y=48 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=48 0720=B0 0723=6E
EV=021148 F=10284 I=250231510 C=306256399 PC=E01F A=F0 X=18 Y=4C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=4C 0720=B0 0723=6E
EV=021149 F=10284 I=250231524 C=306256436 PC=E01F A=BF X=18 Y=50 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=50 0720=B0 0723=6E
EV=021150 F=10284 I=250231538 C=306256473 PC=E01F A=BF X=18 Y=54 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=54 0720=B0 0723=6E
