FCEUX 2.6.6 - Trace Log File
A:01 X:00 Y:02 S:BB     $81FD: D0 02     BNE $8201
A:01 X:00 Y:02 S:BB     $8201: 60        RTS (from $81FB) ----------------------------
A:01 X:00 Y:02 S:BD   $81BC: 18        CLC
A:01 X:00 Y:02 S:BD   $81BD: A5 27     LDA $27 = #$0C
A:0C X:00 Y:02 S:BD   $81BF: 69 04     ADC #$04
A:10 X:00 Y:02 S:BD   $81C1: 85 27     STA $27 = #$0C
A:10 X:00 Y:02 S:BD   $81C3: A5 28     LDA $28 = #$02
A:02 X:00 Y:02 S:BD   $81C5: 69 00     ADC #$00
A:02 X:00 Y:02 S:BD   $81C7: 85 28     STA $28 = #$02
A:02 X:00 Y:02 S:BD   $81C9: C9 04     CMP #$04
A:02 X:00 Y:02 S:BD   $81CB: 90 01     BCC $81CE
A:02 X:00 Y:02 S:BD   $81CE: C6 1F     DEC $1F = #$03
A:02 X:00 Y:02 S:BD   $81D0: D0 8F     BNE $8161
A:02 X:00 Y:02 S:BD   $8161: A0 01     LDY #$01
A:02 X:00 Y:01 S:BD   $8163: A1 22     LDA ($22,X) @ $8706 = #$59
A:59 X:00 Y:01 S:BD   $8165: C9 FF     CMP #$FF
A:59 X:00 Y:01 S:BD   $8167: F0 79     BEQ $81E2
A:59 X:00 Y:01 S:BD   $8169: 91 27     STA ($27),Y @ $0211 = #$59
A:59 X:00 Y:01 S:BD   $816B: A0 03     LDY #$03
A:59 X:00 Y:03 S:BD   $816D: A1 2B     LDA ($2B,X) @ $9194 = #$FC
A:FC X:00 Y:03 S:BD   $816F: 18        CLC
A:FC X:00 Y:03 S:BD   $8170: 71 25     ADC ($25),Y @ $0483 = #$E9
A:E5 X:00 Y:03 S:BD   $8172: 91 27     STA ($27),Y @ $0213 = #$E3
A:E5 X:00 Y:03 S:BD   $8174: 90 12     BCC $8188
A:E5 X:00 Y:03 S:BD   $8176: A1 2B     LDA ($2B,X) @ $9194 = #$FC
A:FC X:00 Y:03 S:BD   $8178: 10 68     BPL $81E2
A:FC X:00 Y:03 S:BD   $817A: 49 FF     EOR #$FF
A:03 X:00 Y:03 S:BD   $817C: 18        CLC
A:03 X:00 Y:03 S:BD   $817D: 69 01     ADC #$01
A:04 X:00 Y:03 S:BD   $817F: 85 9A     STA $9A = #$0C
A:04 X:00 Y:03 S:BD   $8181: B1 25     LDA ($25),Y @ $0483 = #$E9
A:E9 X:00 Y:03 S:BD   $8183: 38        SEC
A:E9 X:00 Y:03 S:BD   $8184: E5 9A     SBC $9A = #$04
A:E5 X:00 Y:03 S:BD   $8186: 90 5A     BCC $81E2
A:E5 X:00 Y:03 S:BD   $8188: 20 02 82  JSR $8202
A:E5 X:00 Y:03 S:B8        $C0F3: 48        PHA
A:E5 X:00 Y:03 S:B7         $C0F4: 8A        TXA
A:00 X:00 Y:03 S:B7         $C0F5: 48        PHA
A:00 X:00 Y:03 S:B6          $C0F6: 98        TYA
A:03 X:00 Y:03 S:B6          $C0F7: 48        PHA
A:03 X:00 Y:03 S:B5           $C0F8: E6 DB     INC $DB = #$11
A:03 X:00 Y:03 S:B5           $C0FA: A5 D4     LDA $D4 = #$06
A:06 X:00 Y:03 S:B5           $C0FC: 85 D6     STA $D6 = #$06
A:06 X:00 Y:03 S:B5           $C0FE: A5 34     LDA $34 = #$91
A:91 X:00 Y:03 S:B5           $C100: 29 7F     AND #$7F
A:11 X:00 Y:03 S:B5           $C102: 8D 00 20  STA $2000 = #$91
A:11 X:00 Y:03 S:B5           $C105: 85 34     STA $34 = #$91
A:11 X:00 Y:03 S:B5           $C107: A9 00     LDA #$00
A:00 X:00 Y:03 S:B5           $C109: 8D 03 20  STA $2003 = #$00
A:00 X:00 Y:03 S:B5           $C10C: E6 A8     INC $A8 = #$02
A:00 X:00 Y:03 S:B5           $C10E: A5 A8     LDA $A8 = #$03
A:03 X:00 Y:03 S:B5           $C110: 29 01     AND #$01
A:01 X:00 Y:03 S:B5           $C112: 09 02     ORA #$02
A:03 X:00 Y:03 S:B5           $C114: 85 A8     STA $A8 = #$03
A:03 X:00 Y:03 S:B5           $C116: 8D 14 40  STA $4014 = #$03
A:03 X:00 Y:03 S:B5           $C119: A9 00     LDA #$00
A:00 X:00 Y:03 S:B5           $C11B: 85 55     STA $55 = #$91
A:00 X:00 Y:03 S:B5           $C11D: 8D 01 20  STA $2001 = #$1E
A:00 X:00 Y:03 S:B5           $C120: A5 4C     LDA $4C = #$00
A:00 X:00 Y:03 S:B5           $C122: F0 30     BEQ $C154
A:00 X:00 Y:03 S:B5           $C154: A5 4B     LDA $4B = #$00
A:00 X:00 Y:03 S:B5           $C156: F0 32     BEQ $C18A
A:00 X:00 Y:03 S:B5           $C18A: 85 4B     STA $4B = #$00
A:00 X:00 Y:03 S:B5           $C18C: A5 34     LDA $34 = #$11
A:11 X:00 Y:03 S:B5           $C18E: 8D 00 20  STA $2000 = #$11
A:11 X:00 Y:03 S:B5           $C191: A5 4A     LDA $4A = #$00
A:00 X:00 Y:03 S:B5           $C193: D0 47     BNE $C1DC
A:00 X:00 Y:03 S:B5           $C195: A2 00     LDX #$00
A:00 X:00 Y:03 S:B5           $C197: BD 36 07  LDA $0736,X @ $0736 = #$FF
A:FF X:00 Y:03 S:B5           $C19A: C9 FF     CMP #$FF
A:FF X:00 Y:03 S:B5           $C19C: F0 37     BEQ $C1D5
A:FF X:00 Y:03 S:B5           $C1D5: 8D 36 07  STA $0736 = #$FF
A:FF X:00 Y:03 S:B5           $C1D8: A9 00     LDA #$00
A:00 X:00 Y:03 S:B5           $C1DA: 85 2D     STA $2D = #$00
A:00 X:00 Y:03 S:B5           $C1DC: A5 55     LDA $55 = #$00
A:00 X:00 Y:03 S:B5           $C1DE: D0 36     BNE $C216
A:00 X:00 Y:03 S:B5           $C1E0: A0 00     LDY #$00
A:00 X:00 Y:00 S:B5           $C1E2: AE 02 20  LDX $2002 = #$91
A:00 X:91 Y:00 S:B5           $C1E5: A5 52     LDA $52 = #$27
A:27 X:91 Y:00 S:B5           $C1E7: 8D 06 20  STA $2006 = #$4B
A:27 X:91 Y:00 S:B5           $C1EA: A5 51     LDA $51 = #$E0
A:E0 X:91 Y:00 S:B5           $C1EC: 8D 06 20  STA $2006 = #$4B
A:E0 X:91 Y:00 S:B5           $C1EF: A2 20     LDX #$20
A:E0 X:20 Y:00 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0460 = #$5A
A:5A X:20 Y:00 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:5A X:20 Y:00 S:B5           $C1F6: C8        INY
A:5A X:20 Y:01 S:B5           $C1F7: CA        DEX
A:5A X:1F Y:01 S:B5           $C1F8: D0 F7     BNE $C1F1
A:5A X:1F Y:01 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0461 = #$59
A:59 X:1F Y:01 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:59 X:1F Y:01 S:B5           $C1F6: C8        INY
A:59 X:1F Y:02 S:B5           $C1F7: CA        DEX
