
============================================================
Dr. Jekyll and Mr. Hyde RNG / Enemy Spawn investigation
============================================================
Started at frame 9900

Known RNG:
  C535 updates $DF and $E0 every RNG tick.

Known spawn-selection paths:
  $DF & $01 -> observed spawn gate
  $DF & $03 -> observed secondary gate
  ($E0 >> 4) & $07 -> C2DA computed dispatch
  $DF & $07 -> B1F2/B1F3 selection in B14F

Candidate counter:
  $042D = observed B258 gate/counter; NOT YET PROVEN
         to be the global next-enemy spawn timer.

Frame | PC | A X Y | DF E0 E1 | event | details
============================================================
F=9901 PC=C6BE A=B8 X=10 Y=10 DF=6B E0=7C E1=99 | DF CHANGE          | C2 -> 6B
F=9901 PC=C6BE A=B8 X=10 Y=10 DF=6B E0=7C E1=99 | E1 CHANGE          | 98 -> 99
F=9902 PC=C6B8 A=A8 X=10 Y=10 DF=6A E0=7C E1=9A | DF CHANGE          | 6B -> 6A
F=9902 PC=C6B8 A=A8 X=10 Y=10 DF=6A E0=7C E1=9A | E1 CHANGE          | 99 -> 9A
F=9903 PC=C6BE A=99 X=10 Y=10 DF=8A E0=7C E1=9B | DF CHANGE          | 6A -> 8A
F=9903 PC=C6BE A=99 X=10 Y=10 DF=8A E0=7C E1=9B | E1 CHANGE          | 9A -> 9B
F=9904 PC=C6C0 A=89 X=10 Y=10 DF=38 E0=7C E1=9C | DF CHANGE          | 8A -> 38
F=9904 PC=C6C0 A=89 X=10 Y=10 DF=38 E0=7C E1=9C | E1 CHANGE          | 9B -> 9C
F=9905 PC=C6BB A=7A X=10 Y=10 DF=FE E0=7C E1=9D | DF CHANGE          | 38 -> FE
F=9905 PC=C6BB A=7A X=10 Y=10 DF=FE E0=7C E1=9D | E1 CHANGE          | 9C -> 9D
F=9906 PC=C6BE A=6A X=10 Y=10 DF=A7 E0=7C E1=9E | DF CHANGE          | FE -> A7
F=9906 PC=C6BE A=6A X=10 Y=10 DF=A7 E0=7C E1=9E | E1 CHANGE          | 9D -> 9E
F=9907 PC=C6C0 A=5A X=10 Y=10 DF=A6 E0=7C E1=9F | DF CHANGE          | A7 -> A6
F=9907 PC=C6C0 A=5A X=10 Y=10 DF=A6 E0=7C E1=9F | E1 CHANGE          | 9E -> 9F
F=9908 PC=C6BB A=4B X=10 Y=10 DF=C6 E0=7C E1=A0 | DF CHANGE          | A6 -> C6
F=9908 PC=C6BB A=4B X=10 Y=10 DF=C6 E0=7C E1=A0 | E1 CHANGE          | 9F -> A0
F=9909 PC=C6BE A=3B X=10 Y=10 DF=74 E0=FB E1=A1 | DF CHANGE          | C6 -> 74
F=9909 PC=C6BE A=3B X=10 Y=10 DF=74 E0=FB E1=A1 | E0 CHANGE          | 7C -> FB
F=9909 PC=C6BE A=3B X=10 Y=10 DF=74 E0=FB E1=A1 | E1 CHANGE          | A0 -> A1
F=9910 PC=C6B8 A=2B X=10 Y=10 DF=3A E0=36 E1=A2 | DF CHANGE          | 74 -> 3A
F=9910 PC=C6B8 A=2B X=10 Y=10 DF=3A E0=36 E1=A2 | E0 CHANGE          | FB -> 36
F=9910 PC=C6B8 A=2B X=10 Y=10 DF=3A E0=36 E1=A2 | E1 CHANGE          | A1 -> A2
F=9911 PC=C6BB A=1C X=10 Y=10 DF=E3 E0=B1 E1=A3 | DF CHANGE          | 3A -> E3
F=9911 PC=C6BB A=1C X=10 Y=10 DF=E3 E0=B1 E1=A3 | E0 CHANGE          | 36 -> B1
F=9911 PC=C6BB A=1C X=10 Y=10 DF=E3 E0=B1 E1=A3 | E1 CHANGE          | A2 -> A3
F=9912 PC=C6BE A=0C X=10 Y=10 DF=E2 E0=F4 E1=A4 | DF CHANGE          | E3 -> E2
F=9912 PC=C6BE A=0C X=10 Y=10 DF=E2 E0=F4 E1=A4 | E0 CHANGE          | B1 -> F4
F=9912 PC=C6BE A=0C X=10 Y=10 DF=E2 E0=F4 E1=A4 | E1 CHANGE          | A3 -> A4
F=9913 PC=C6B8 A=FD X=10 Y=10 DF=02 E0=33 E1=A5 | DF CHANGE          | E2 -> 02
F=9913 PC=C6B8 A=FD X=10 Y=10 DF=02 E0=33 E1=A5 | E0 CHANGE          | F4 -> 33
F=9913 PC=C6B8 A=FD X=10 Y=10 DF=02 E0=33 E1=A5 | E1 CHANGE          | A4 -> A5
F=9914 PC=BEBC A=00 X=10 Y=10 DF=B0 E0=72 E1=A6 | WRITE 048B         | value=00
F=9914 PC=CC28 A=00 X=0A Y=10 DF=B0 E0=72 E1=A6 | WRITE 0428         | value=00
F=9914 PC=CC28 A=00 X=0F Y=10 DF=B0 E0=72 E1=A6 | WRITE 042D         | value=00
F=9914 PC=CC28 A=00 X=16 Y=10 DF=B0 E0=72 E1=A6 | WRITE 0434         | value=00
F=9914 PC=CC28 A=00 X=19 Y=10 DF=B0 E0=72 E1=A6 | WRITE 0437         | value=00
F=9914 PC=CC28 A=00 X=1E Y=10 DF=B0 E0=72 E1=A6 | WRITE 043C         | value=00
F=9914 PC=C6BE A=9A X=0C Y=10 DF=B0 E0=72 E1=A6 | DF CHANGE          | 02 -> B0
F=9914 PC=C6BE A=9A X=0C Y=10 DF=B0 E0=72 E1=A6 | E0 CHANGE          | 33 -> 72
F=9914 PC=C6BE A=9A X=0C Y=10 DF=B0 E0=72 E1=A6 | E1 CHANGE          | A5 -> A6
F=9915 PC=C6B8 A=54 X=0C Y=10 DF=9A E0=14 E1=A7 | DF CHANGE          | B0 -> 9A
F=9915 PC=C6B8 A=54 X=0C Y=10 DF=9A E0=14 E1=A7 | E0 CHANGE          | 72 -> 14
F=9915 PC=C6B8 A=54 X=0C Y=10 DF=9A E0=14 E1=A7 | E1 CHANGE          | A6 -> A7
F=9916 PC=C6BE A=46 X=0C Y=10 DF=FA E0=14 E1=A8 | DF CHANGE          | 9A -> FA
F=9916 PC=C6BE A=46 X=0C Y=10 DF=FA E0=14 E1=A8 | E1 CHANGE          | A7 -> A8
F=9917 PC=C6BE A=38 X=0C Y=10 DF=F8 E0=60 E1=A9 | DF CHANGE          | FA -> F8
F=9917 PC=C6BE A=38 X=0C Y=10 DF=F8 E0=60 E1=A9 | E0 CHANGE          | 14 -> 60
F=9917 PC=C6BE A=38 X=0C Y=10 DF=F8 E0=60 E1=A9 | E1 CHANGE          | A8 -> A9
F=9918 PC=DF0D A=FF X=0C Y=F2 DF=F6 E0=FD E1=AA | DF CHANGE          | F8 -> F6
F=9918 PC=DF0D A=FF X=0C Y=F2 DF=F6 E0=FD E1=AA | E0 CHANGE          | 60 -> FD
F=9918 PC=DF0D A=FF X=0C Y=F2 DF=F6 E0=FD E1=AA | E1 CHANGE          | A9 -> AA
F=9934 PC=C6B8 A=37 X=03 Y=06 DF=E6 E0=F6 E1=AB | DF CHANGE          | F6 -> E6
F=9934 PC=C6B8 A=37 X=03 Y=06 DF=E6 E0=F6 E1=AB | E0 CHANGE          | FD -> F6
F=9934 PC=C6B8 A=37 X=03 Y=06 DF=E6 E0=F6 E1=AB | E1 CHANGE          | AA -> AB
F=9935 PC=C6BB A=56 X=03 Y=06 DF=6E E0=E6 E1=AC | DF CHANGE          | E6 -> 6E
F=9935 PC=C6BB A=56 X=03 Y=06 DF=6E E0=E6 E1=AC | E0 CHANGE          | F6 -> E6
F=9935 PC=C6BB A=56 X=03 Y=06 DF=6E E0=E6 E1=AC | E1 CHANGE          | AB -> AC
F=9936 PC=C6BE A=74 X=03 Y=06 DF=06 E0=EA E1=AD | DF CHANGE          | 6E -> 06
F=9936 PC=C6BE A=74 X=03 Y=06 DF=06 E0=EA E1=AD | E0 CHANGE          | E6 -> EA
F=9936 PC=C6BE A=74 X=03 Y=06 DF=06 E0=EA E1=AD | E1 CHANGE          | AC -> AD
F=9937 PC=C6BE A=92 X=03 Y=06 DF=A6 E0=E2 E1=AE | DF CHANGE          | 06 -> A6
F=9937 PC=C6BE A=92 X=03 Y=06 DF=A6 E0=E2 E1=AE | E0 CHANGE          | EA -> E2
F=9937 PC=C6BE A=92 X=03 Y=06 DF=A6 E0=E2 E1=AE | E1 CHANGE          | AD -> AE
F=9938 PC=C2DA A=00 X=20 Y=20 DF=AF E0=22 E1=AF | C2DA ENTER         | A=00 X=20 Y=20 E0selector=?
F=9938 PC=C317 A=9D X=00 Y=01 DF=AF E0=22 E1=AF | C317 C2DA EXIT     | E0selector=?
F=9938 PC=C6BE A=3E X=20 Y=A0 DF=AF E0=22 E1=AF | DF CHANGE          | A6 -> AF
F=9938 PC=C6BE A=3E X=20 Y=A0 DF=AF E0=22 E1=AF | E0 CHANGE          | E2 -> 22
F=9938 PC=C6BE A=3E X=20 Y=A0 DF=AF E0=22 E1=AF | E1 CHANGE          | AE -> AF
F=9939 PC=C6BE A=5C X=20 Y=A0 DF=40 E0=13 E1=B0 | DF CHANGE          | AF -> 40
F=9939 PC=C6BE A=5C X=20 Y=A0 DF=40 E0=13 E1=B0 | E0 CHANGE          | 22 -> 13
F=9939 PC=C6BE A=5C X=20 Y=A0 DF=40 E0=13 E1=B0 | E1 CHANGE          | AF -> B0
F=9940 PC=C6C0 A=7A X=20 Y=A0 DF=30 E0=22 E1=B1 | DF CHANGE          | 40 -> 30
F=9940 PC=C6C0 A=7A X=20 Y=A0 DF=30 E0=22 E1=B1 | E0 CHANGE          | 13 -> 22
F=9940 PC=C6C0 A=7A X=20 Y=A0 DF=30 E0=22 E1=B1 | E1 CHANGE          | B0 -> B1
F=9941 PC=C6B8 A=98 X=20 Y=A0 DF=D0 E0=A2 E1=B2 | DF CHANGE          | 30 -> D0
F=9941 PC=C6B8 A=98 X=20 Y=A0 DF=D0 E0=A2 E1=B2 | E0 CHANGE          | 22 -> A2
F=9941 PC=C6B8 A=98 X=20 Y=A0 DF=D0 E0=A2 E1=B2 | E1 CHANGE          | B1 -> B2
F=9942 PC=C6BB A=B7 X=20 Y=A0 DF=D0 E0=AE E1=B3 | E0 CHANGE          | A2 -> AE
F=9942 PC=C6BB A=B7 X=20 Y=A0 DF=D0 E0=AE E1=B3 | E1 CHANGE          | B2 -> B3
F=9943 PC=C6BB A=D5 X=20 Y=A0 DF=30 E0=9F E1=B4 | DF CHANGE          | D0 -> 30
F=9943 PC=C6BB A=D5 X=20 Y=A0 DF=30 E0=9F E1=B4 | E0 CHANGE          | AE -> 9F
F=9943 PC=C6BB A=D5 X=20 Y=A0 DF=30 E0=9F E1=B4 | E1 CHANGE          | B3 -> B4
F=9944 PC=C2DA A=01 X=20 Y=A0 DF=B4 E0=9F E1=B5 | C2DA ENTER         | A=01 X=20 Y=A0 E0selector=?
F=9944 PC=C317 A=A1 X=00 Y=01 DF=B4 E0=9F E1=B5 | C317 C2DA EXIT     | E0selector=?
F=9944 PC=C6BB A=A9 X=20 Y=80 DF=B4 E0=9F E1=B5 | DF CHANGE          | 30 -> B4
F=9944 PC=C6BB A=A9 X=20 Y=80 DF=B4 E0=9F E1=B5 | E1 CHANGE          | B4 -> B5
F=9945 PC=C6BB A=C7 X=20 Y=80 DF=AA E0=30 E1=B6 | DF CHANGE          | B4 -> AA
F=9945 PC=C6BB A=C7 X=20 Y=80 DF=AA E0=30 E1=B6 | E0 CHANGE          | 9F -> 30
F=9945 PC=C6BB A=C7 X=20 Y=80 DF=AA E0=30 E1=B6 | E1 CHANGE          | B5 -> B6
F=9946 PC=C6BE A=E5 X=20 Y=80 DF=4A E0=30 E1=B7 | DF CHANGE          | AA -> 4A
F=9946 PC=C6BE A=E5 X=20 Y=80 DF=4A E0=30 E1=B7 | E1 CHANGE          | B6 -> B7
F=9947 PC=C6BE A=02 X=20 Y=80 DF=53 E0=21 E1=B8 | DF CHANGE          | 4A -> 53
F=9947 PC=C6BE A=02 X=20 Y=80 DF=53 E0=21 E1=B8 | E0 CHANGE          | 30 -> 21
F=9947 PC=C6BE A=02 X=20 Y=80 DF=53 E0=21 E1=B8 | E1 CHANGE          | B7 -> B8
F=9948 PC=C6C0 A=20 X=20 Y=80 DF=04 E0=27 E1=B9 | DF CHANGE          | 53 -> 04
F=9948 PC=C6C0 A=20 X=20 Y=80 DF=04 E0=27 E1=B9 | E0 CHANGE          | 21 -> 27
F=9948 PC=C6C0 A=20 X=20 Y=80 DF=04 E0=27 E1=B9 | E1 CHANGE          | B8 -> B9
F=9949 PC=C2DA A=02 X=20 Y=80 DF=F4 E0=B0 E1=BA | C2DA ENTER         | A=02 X=20 Y=80 E0selector=?
F=9949 PC=C317 A=A5 X=00 Y=01 DF=F4 E0=B0 E1=BA | C317 C2DA EXIT     | E0selector=?
F=9949 PC=C6BE A=F5 X=20 Y=60 DF=F4 E0=B0 E1=BA | DF CHANGE          | 04 -> F4
F=9949 PC=C6BE A=F5 X=20 Y=60 DF=F4 E0=B0 E1=BA | E0 CHANGE          | 27 -> B0
F=9949 PC=C6BE A=F5 X=20 Y=60 DF=F4 E0=B0 E1=BA | E1 CHANGE          | B9 -> BA
F=9950 PC=C6BE A=12 X=20 Y=60 DF=9C E0=B7 E1=BB | DF CHANGE          | F4 -> 9C
F=9950 PC=C6BE A=12 X=20 Y=60 DF=9C E0=B7 E1=BB | E0 CHANGE          | B0 -> B7
F=9950 PC=C6BE A=12 X=20 Y=60 DF=9C E0=B7 E1=BB | E1 CHANGE          | BA -> BB
F=9951 PC=C6C0 A=30 X=20 Y=60 DF=64 E0=A8 E1=BC | DF CHANGE          | 9C -> 64
F=9951 PC=C6C0 A=30 X=20 Y=60 DF=64 E0=A8 E1=BC | E0 CHANGE          | B7 -> A8
F=9951 PC=C6C0 A=30 X=20 Y=60 DF=64 E0=A8 E1=BC | E1 CHANGE          | BB -> BC
F=9952 PC=C6B8 A=4E X=20 Y=60 DF=15 E0=A8 E1=BD | DF CHANGE          | 64 -> 15
F=9952 PC=C6B8 A=4E X=20 Y=60 DF=15 E0=A8 E1=BD | E1 CHANGE          | BC -> BD
F=9953 PC=C6BB A=6D X=20 Y=60 DF=05 E0=3A E1=BE | DF CHANGE          | 15 -> 05
F=9953 PC=C6BB A=6D X=20 Y=60 DF=05 E0=3A E1=BE | E0 CHANGE          | A8 -> 3A
F=9953 PC=C6BB A=6D X=20 Y=60 DF=05 E0=3A E1=BE | E1 CHANGE          | BD -> BE
F=9954 PC=C2DA A=03 X=20 Y=60 DF=1D E0=4D E1=BF | C2DA ENTER         | A=03 X=20 Y=60 E0selector=?
F=9954 PC=C317 A=A9 X=00 Y=01 DF=1D E0=4D E1=BF | C317 C2DA EXIT     | E0selector=?
F=9954 PC=C6B8 A=40 X=20 Y=40 DF=1D E0=4D E1=BF | DF CHANGE          | 05 -> 1D
F=9954 PC=C6B8 A=40 X=20 Y=40 DF=1D E0=4D E1=BF | E0 CHANGE          | 3A -> 4D
F=9954 PC=C6B8 A=40 X=20 Y=40 DF=1D E0=4D E1=BF | E1 CHANGE          | BE -> BF
F=9955 PC=C6BB A=5F X=20 Y=40 DF=06 E0=3E E1=C0 | DF CHANGE          | 1D -> 06
F=9955 PC=C6BB A=5F X=20 Y=40 DF=06 E0=3E E1=C0 | E0 CHANGE          | 4D -> 3E
F=9955 PC=C6BB A=5F X=20 Y=40 DF=06 E0=3E E1=C0 | E1 CHANGE          | BF -> C0
F=9956 PC=C6BB A=7D X=20 Y=40 DF=06 E0=41 E1=C1 | E0 CHANGE          | 3E -> 41
F=9956 PC=C6BB A=7D X=20 Y=40 DF=06 E0=41 E1=C1 | E1 CHANGE          | C0 -> C1
F=9957 PC=C6BE A=9B X=20 Y=40 DF=97 E0=CA E1=C2 | DF CHANGE          | 06 -> 97
F=9957 PC=C6BE A=9B X=20 Y=40 DF=97 E0=CA E1=C2 | E0 CHANGE          | 41 -> CA
F=9957 PC=C6BE A=9B X=20 Y=40 DF=97 E0=CA E1=C2 | E1 CHANGE          | C1 -> C2
F=9958 PC=C6BE A=B9 X=20 Y=40 DF=87 E0=DC E1=C3 | DF CHANGE          | 97 -> 87
F=9958 PC=C6BE A=B9 X=20 Y=40 DF=87 E0=DC E1=C3 | E0 CHANGE          | CA -> DC
F=9958 PC=C6BE A=B9 X=20 Y=40 DF=87 E0=DC E1=C3 | E1 CHANGE          | C2 -> C3
F=9959 PC=C6C0 A=D7 X=20 Y=40 DF=77 E0=ED E1=C4 | DF CHANGE          | 87 -> 77
F=9959 PC=C6C0 A=D7 X=20 Y=40 DF=77 E0=ED E1=C4 | E0 CHANGE          | DC -> ED
F=9959 PC=C6C0 A=D7 X=20 Y=40 DF=77 E0=ED E1=C4 | E1 CHANGE          | C3 -> C4
F=9960 PC=C2DA A=04 X=20 Y=40 DF=84 E0=FD E1=C5 | C2DA ENTER         | A=04 X=20 Y=40 E0selector=?
F=9960 PC=C317 A=AD X=00 Y=01 DF=84 E0=FD E1=C5 | C317 C2DA EXIT     | E0selector=?
F=9960 PC=C6C0 A=AB X=20 Y=20 DF=84 E0=FD E1=C5 | DF CHANGE          | 77 -> 84
F=9960 PC=C6C0 A=AB X=20 Y=20 DF=84 E0=FD E1=C5 | E0 CHANGE          | ED -> FD
F=9960 PC=C6C0 A=AB X=20 Y=20 DF=84 E0=FD E1=C5 | E1 CHANGE          | C4 -> C5
F=9961 PC=C6B8 A=C9 X=20 Y=20 DF=4C E0=03 E1=C6 | DF CHANGE          | 84 -> 4C
F=9961 PC=C6B8 A=C9 X=20 Y=20 DF=4C E0=03 E1=C6 | E0 CHANGE          | FD -> 03
F=9961 PC=C6B8 A=C9 X=20 Y=20 DF=4C E0=03 E1=C6 | E1 CHANGE          | C5 -> C6
F=9962 PC=C6BB A=E8 X=20 Y=20 DF=FD E0=0A E1=C7 | DF CHANGE          | 4C -> FD
F=9962 PC=C6BB A=E8 X=20 Y=20 DF=FD E0=0A E1=C7 | E0 CHANGE          | 03 -> 0A
F=9962 PC=C6BB A=E8 X=20 Y=20 DF=FD E0=0A E1=C7 | E1 CHANGE          | C6 -> C7
F=9963 PC=C6BB A=05 X=20 Y=20 DF=ED E0=FB E1=C8 | DF CHANGE          | FD -> ED
F=9963 PC=C6BB A=05 X=20 Y=20 DF=ED E0=FB E1=C8 | E0 CHANGE          | 0A -> FB
F=9963 PC=C6BB A=05 X=20 Y=20 DF=ED E0=FB E1=C8 | E1 CHANGE          | C7 -> C8
F=9964 PC=C6BE A=23 X=20 Y=20 DF=B5 E0=01 E1=C9 | DF CHANGE          | ED -> B5
F=9964 PC=C6BE A=23 X=20 Y=20 DF=B5 E0=01 E1=C9 | E0 CHANGE          | FB -> 01
F=9964 PC=C6BE A=23 X=20 Y=20 DF=B5 E0=01 E1=C9 | E1 CHANGE          | C8 -> C9
F=9965 PC=C2DA A=05 X=20 Y=20 DF=3A E0=8B E1=CA | C2DA ENTER         | A=05 X=20 Y=20 E0selector=?
F=9965 PC=C317 A=C2 X=00 Y=01 DF=3A E0=8B E1=CA | C317 C2DA EXIT     | E0selector=?
F=9965 PC=C726 A=01 X=2B Y=01 DF=3A E0=8B E1=CA | C726 QUEUE         | queueID=01 X=2B E0selector=? DF=3A E0=8B
F=9965 PC=C726 A=4B X=00 Y=01 DF=3A E0=8B E1=CA | C726 QUEUE         | queueID=4B X=00 E0selector=? DF=3A E0=8B
F=9965 PC=C726 A=09 X=01 Y=01 DF=3A E0=8B E1=CA | C726 QUEUE         | queueID=09 X=01 E0selector=? DF=3A E0=8B
F=9965 PC=C726 A=26 X=02 Y=01 DF=3A E0=8B E1=CA | C726 QUEUE         | queueID=26 X=02 E0selector=? DF=3A E0=8B
F=9965 PC=C726 A=5E X=03 Y=01 DF=3A E0=8B E1=CA | C726 QUEUE         | queueID=5E X=03 E0selector=? DF=3A E0=8B
F=9965 PC=C726 A=01 X=03 Y=01 DF=3A E0=8B E1=CA | C726 QUEUE         | queueID=01 X=03 E0selector=? DF=3A E0=8B
F=9965 PC=C2DA A=00 X=05 Y=01 DF=3A E0=8B E1=CA | C2DA ENTER         | A=00 X=05 Y=01 E0selector=?
F=9965 PC=C317 A=45 X=00 Y=01 DF=3A E0=8B E1=CA | C317 C2DA EXIT     | E0selector=?
F=9965 PC=C2DA A=00 X=00 Y=06 DF=3A E0=8B E1=CA | C2DA ENTER         | A=00 X=00 Y=06 E0selector=?
F=9965 PC=C317 A=D3 X=00 Y=01 DF=3A E0=8B E1=CA | C317 C2DA EXIT     | E0selector=?
F=9965 PC=C726 A=4B X=97 Y=01 DF=3A E0=8B E1=CA | C726 QUEUE         | queueID=4B X=97 E0selector=? DF=3A E0=8B
F=9965 PC=C2DA A=01 X=06 Y=01 DF=3A E0=8B E1=CA | C2DA ENTER         | A=01 X=06 Y=01 E0selector=?
F=9965 PC=C317 A=1C X=00 Y=01 DF=3A E0=8B E1=CA | C317 C2DA EXIT     | E0selector=?
F=9965 PC=E71D A=1C X=00 Y=01 DF=3A E0=8B E1=CA | E71D DF GATE       | DF=3A DF&01=0
F=9965 PC=E659 A=00 X=00 Y=01 DF=3A E0=8B E1=CA | E659 DF GATE       | DF=3A DF&03=2
