
============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v2
============================================================
Started frame: 11996

RNG variables:
  $DF = RNG byte used by several spawn gates
  $E0 = second RNG byte
  $E1 = RNG table/index state

Derived values:
  DF&01
  DF&03
  DF&07
  (E0>>4)&07

Candidate B258 counter:
  $042D -- meaning not yet established as spawn timer

============================================================
F=11997 PC=C535 A=00 X=80 Y=00 DF=86 E0=44 E1=7E | C535 RNG UPDATE      | DF=86 E0=44 E1=7E
F=11997 PC=C74C A=A7 X=1A Y=01 DF=EF E0=F1 E1=7F | DF CHANGE            | 86 -> EF
F=11997 PC=C74C A=A7 X=1A Y=01 DF=EF E0=F1 E1=7F | E0 CHANGE            | 44 -> F1
F=11997 PC=C74C A=A7 X=1A Y=01 DF=EF E0=F1 E1=7F | E1 CHANGE            | 7E -> 7F
F=11998 PC=C535 A=00 X=80 Y=00 DF=EF E0=F1 E1=7F | C535 RNG UPDATE      | DF=EF E0=F1 E1=7F
F=11998 PC=C74C A=8F X=1A Y=01 DF=F7 E0=E6 E1=80 | DF CHANGE            | EF -> F7
F=11998 PC=C74C A=8F X=1A Y=01 DF=F7 E0=E6 E1=80 | E0 CHANGE            | F1 -> E6
F=11998 PC=C74C A=8F X=1A Y=01 DF=F7 E0=E6 E1=80 | E1 CHANGE            | 7F -> 80
F=11999 PC=C535 A=00 X=80 Y=00 DF=F7 E0=E6 E1=80 | C535 RNG UPDATE      | DF=F7 E0=E6 E1=80
F=11999 PC=C74C A=68 X=1A Y=01 DF=84 E0=E9 E1=81 | DF CHANGE            | F7 -> 84
F=11999 PC=C74C A=68 X=1A Y=01 DF=84 E0=E9 E1=81 | E0 CHANGE            | E6 -> E9
F=11999 PC=C74C A=68 X=1A Y=01 DF=84 E0=E9 E1=81 | E1 CHANGE            | 80 -> 81
F=12000 PC=C535 A=00 X=80 Y=00 DF=84 E0=E9 E1=81 | C535 RNG UPDATE      | DF=84 E0=E9 E1=81
F=12000 PC=C726 A=26 X=4D Y=01 DF=3C E0=D9 E1=82 | C726 QUEUE           | SEQ=1 ID=26 CALLER=C726 DF=3C E0=D9 E0sel=?
F=12000 PC=E01F A=00 X=04 Y=00 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=00 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=04 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=04 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=08 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=08 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=0C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=0C 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=10 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=10 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=14 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=14 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=18 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=18 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=1C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=1C 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=20 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=20 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=24 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=24 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=28 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=28 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=2C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=2C 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=30 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=30 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=34 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=34 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=38 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=38 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=3C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=3C 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=40 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=40 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=44 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=44 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=48 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=48 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=4C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=4C 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=50 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=50 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=54 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=54 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=58 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=58 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=5C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=5C 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=60 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=60 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=64 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=64 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=68 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=68 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=6C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=6C 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=70 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=70 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=74 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=74 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=78 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=78 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=7C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=7C 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=80 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=80 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=84 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=84 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=88 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=88 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=8C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=8C 0720=B0 0723=88
