type,frame,pc,input,DF,E0,E1,DF_bit0,DF_low2,DF_low3,E0_shift4_low3,rng_calls,rng_gap,max_rng_gap,0428,042D,048B,queue_slot,queue_addr,queue_value,c726_total,b14f_total,b14f_snapshot
C726,1252,C726,-,BC,B2,B6,0,0,4,3,0,-1,0,00,00,00,C726,,,1,0,
C726,1252,C726,-,BC,B2,B6,0,0,4,3,0,-1,0,00,00,00,C726,,,2,0,
C726,1252,C726,-,BC,B2,B6,0,0,4,3,0,-1,0,00,00,00,C726,,,3,0,
C726,1252,C726,-,BC,B2,B6,0,0,4,3,0,-1,0,00,00,00,C726,,,4,0,
OBJECT,1252,C74A,-,BC,B2,B6,0,0,4,3,0,-1,0,00,00,00,21,$0215,4B,4,0,
OBJECT,1252,C74A,-,BC,B2,B6,0,0,4,3,0,-1,0,00,00,00,22,$0216,48,4,0,
OBJECT,1252,C74A,-,BC,B2,B6,0,0,4,3,0,-1,0,00,00,00,23,$0217,46,4,0,
OBJECT,1252,C74A,-,BC,B2,B6,0,0,4,3,0,-1,0,00,00,00,24,$0218,09,4,0,
FRAME,1252,C74A,-,BC,B2,B6,0,0,4,3,0,-1,0,00,00,00,,,,,4,0,
RNG,1253,C535,-,BC,B2,B6,0,0,4,3,1,-1,0,00,00,00,C535,,,4,0,
FRAME,1253,C74C,-,A0,7A,B7,0,0,0,7,1,-1,0,00,00,00,,,,,4,0,
RNG,1254,C535,-,A0,7A,B7,0,0,0,7,1,1,1,00,00,00,C535,,,4,0,
FRAME,1254,C74A,-,9E,42,B8,0,2,6,4,1,1,1,00,00,00,,,,,4,0,
RNG,1255,C535,-,9E,42,B8,0,2,6,4,1,1,1,00,00,00,C535,,,4,0,
C726,1255,C726,-,92,0A,B9,0,2,2,0,1,1,1,00,00,00,C726,,,5,0,
OBJECT,1255,E05F,-,92,0A,B9,0,2,2,0,1,1,1,00,00,00,25,$0219,26,5,0,
FRAME,1255,E05F,-,92,0A,B9,0,2,2,0,1,1,1,00,00,00,,,,,5,0,
RNG,1256,C535,-,92,0A,B9,0,2,2,0,1,1,1,00,00,00,C535,,,5,0,
C726,1256,C726,-,90,D2,BA,0,0,0,5,1,1,1,00,00,00,C726,,,6,0,
C726,1256,C726,-,90,D2,BA,0,0,0,5,1,1,1,00,00,00,C726,,,7,0,
C726,1256,C726,-,90,D2,BA,0,0,0,5,1,1,1,00,00,00,C726,,,8,0,
C726,1256,C726,-,90,D2,BA,0,0,0,5,1,1,1,00,00,00,C726,,,9,0,
C726,1256,C726,-,90,D2,BA,0,0,0,5,1,1,1,00,00,00,C726,,,10,0,
C726,1256,C726,-,90,D2,BA,0,0,0,5,1,1,1,00,00,00,C726,,,11,0,
OBJECT,1256,C74A,-,90,D2,BA,0,0,0,5,1,1,1,00,00,00,26,$021A,5E,11,0,
OBJECT,1256,C74A,-,90,D2,BA,0,0,0,5,1,1,1,00,00,00,27,$021B,01,11,0,
